"package","D.Obs","P0","P1"
"abcde",-1.90835056187087,0.7725,0.07
"acl",0.390455057052635,0.3675,0.13
"acpi",0.429117204531027,0.3225,0.075
"acpid",1.14642038409669,0.0175,0.63
"acpi.support",0.825529277795785,0.1225,0.2675
"acpi.support.base",0.510469915113602,0.315,0.165
"add.desktop.antix",-3.25687835116231,0.76,0.125
"add.key.antix",-3.43404985837652,0.805,0.09
"add.start.antix",-3.90197738725511,0.7975,0.075
"adduser",-3.07068709002063,0.9675,0
"advert.block.antix",-2.13533811724309,0.78,0.0775
"adwaita.icon.theme",1.23175675605831,0.025,0.75
"adwaita.themes",-3.06305126661953,0.8,0.0975
"alpine",-0.637448533215464,0.65,0.1575
"alsa.base",-0.737223169011457,0.8225,0
"alsamixer.equalizer.antix",-3.50412830420068,0.7775,0.0825
"alsa.tools",1.65188367564096,0.055,0.79
"alsa.utils",-0.43999912533118,0.7425,0.0175
"antix.archive.keyring",-2.23646121864235,0.7875,0.09
"antix.cc.full.antix",-2.09927227279374,0.7775,0.0975
"antix.goodies",-2.38797516919329,0.79,0.0825
"antix.installer",-3.59507684678703,0.795,0.1325
"antix.libs",-2.14791433267719,0.7775,0.0775
"apt",-3.08901935506984,0.95,0
"apt.antix",-2.07532108614335,0.785,0.09
"apt.show.versions",0.294213563634621,0.4225,0.17
"apt.utils",-2.27038310148092,0.9375,0.0025
"arandr",1.2172860834139,0.095,0.5925
"asciidoc",-1.76406955626871,0.76,0.085
"ash",-2.42313802526305,0.9075,0.0325
"aspell",-0.373937000349294,0.7125,0.0175
"aspell.en",-0.257688889346997,0.6875,0.0025
"asunder",0.0372921892647135,0.5175,0.255
"atmel.firmware",-0.235675995896378,0.6725,0.0175
"aufs.tools",1.26756484185134,0.075,0.6475
"avahi.daemon",0.751988211746355,0.1675,0.2425
"avahi.utils",-0.569505296092783,0.79,0
"base.files",-2.6183070635581,0.95,0
"base.passwd",-2.80765042695584,0.9575,0
"bash",-2.6117923612768,0.9725,0
"bash.completion",-0.281353720139512,0.705,0.0075
"bc",0.325494445253213,0.3975,0.1675
"b.fwcutter",1.21487180267037,0.0325,0.7325
"bind.host",0.416392575682757,0.385,0.1625
"binutils",-0.31477162857976,0.7025,0.01
"bittorrent",-0.821719080780062,0.7,0.1525
"bleachbit",0.371234437541368,0.385,0.2175
"bluetooth",0.826319472105304,0.1625,0.315
"bluez",-0.184618130907793,0.6175,0.005
"bluez.firmware",0.896731808737057,0.185,0.39
"bootchart.antix",-2.09075679525536,0.765,0.09
"br",-0.82303172051455,0.6675,0.145
"brit.icons",-2.94742710656474,0.815,0.0725
"bsdmainutils",-1.32019124717217,0.855,0.0075
"bsdutils",-2.98140737243776,0.9725,0
"btrfs.tools",-0.41135126949952,0.75,0.0025
"busybox",-1.52740077983726,0.97,0
"bzip",-0.169031192332894,0.595,0.1475
"ca.certificates",-1.28790244933393,0.8675,0.025
"calcurse",-3.2089047768487,0.8025,0.1125
"caps",0.946134475273987,0.2275,0.465
"cclive",-2.75709496358397,0.8175,0.1025
"cd.discid",-2.09750013358471,0.7625,0.105
"cdparanoia",-0.131874493481077,0.645,0.0075
"cdw",-2.53721286729257,0.795,0.065
"ceni",-0.795684649031112,0.64,0.195
"cifs.utils",-0.318544427521945,0.6975,0
"claws.mail",1.04909839702895,0.245,0.5
"claws.mail.in",-0.555822700431302,0.6325,0.1275
"claws.mail.pdf.viewer",-2.97029648272486,0.78,0.085
