Distribution,HPD,Rank,Packages,Scope_width,Scope_special,Scope,Country,Parent,Parent_simple
Mint,3070,1,2347,3,1,"Beginners, Desktop, Live Medium",Ireland,Debian,Debian
Debian,1952,2,57991,3,1,"Desktop, Live Medium, Server",Global,Debian,Debian
Ubuntu,1685,3,1913,4,1,"Beginners, Desktop, Server, Live Medium",Isle of Man,Debian,Debian
openSUSE,1346,4,5748,4,2,"Desktop, Server, Live Medium, Raspberry Pi",Germany,Independent,Other
Fedora,1148,5,1451,3,1,"Desktop, Server, Live Medium",USA,Fedora,Red Hat
Manjaro,1049,6,9300,3,1,"Desktop, Live Medium, Netbooks","Austria, Germany, France",Arch,Arch
Mageia,983,7,4181,3,1,"Desktop, Live Medium, Server",France,Mandriva,Mandriva
CentOS,888,8,3724,3,1,"Desktop, Live Medium, Server",USA,"Fedora, Red Hat",Red Hat
Arch,801,9,8559,3,2,"Desktop, Raspberry Pi, Server",Canada,Arch,Arch
Android-x86,731,10,NA,2,0,"Desktop, Live Medium",USA,Android,Other
Zorin,696,11,2359,2,0,"Desktop, Live Medium",Ireland,Debian,Debian
LXLE,666,12,1907,3,1,"Desktop, Live Medium, Old Computers",USA,Debian,Debian
PCLinuxOS,662,13,2167,3,1,"Beginners, Desktop, Live Medium",USA,Mandriva,Mandriva
Kali,621,14,2667,5,4,"Data Rescue, Forensics, Live Medium, Raspberry Pi, Security",Switzerland,Debian,Debian
elementary,618,15,1535,3,1,"Beginners, Desktop, Live Medium",USA,Debian,Debian
deepin,581,16,1443,1,0,Desktop,China,Debian,Debian
Puppy,580,17,1311,4,2,"Desktop, Old Computers, Live Medium, Netbooks",Australia,Independent,Other
Ubuntu MATE,568,18,1860,4,2,"Beginners, Desktop, Live Medium, Raspberry Pi",United Kingdom,Debian,Debian
Lubuntu,557,19,1213,3,2,"Live Medium, Netbooks, Old Computers",France,Debian,Debian
Lite,509,20,1552,3,1,"Beginners, Desktop, Live Medium",New Zealand,Debian,Debian
antiX,471,21,1372,2,1,"Live Medium, Old Computers",Greece,Debian,Debian
Slackware,468,22,1337,2,1,"Desktop, Server",USA,Independent,Other
Simplicity,455,23,691,3,1,"Desktop, Live Medium, Netbooks",UK,Puppy,Puppy
FreeBSD,442,24,25143,4,3,"Desktop, Firewall, Raspberry Pi, Server",USA,Independent,Other
Tails,413,25,1838,3,2,"Live Medium, Privacy, Security",Ireland,Debian,Debian
Xubuntu,409,26,1536,1,0,Desktop,Isle of Man,Debian,Debian
Antergos,407,27,839,2,0,"Desktop, Live Medium",Spain,Arch,Arch
Cub,404,28,NA,2,0,"Desktop, Live Medium",UK,Debian,Debian
Netrunner,402,29,2711,3,1,"Beginners, Desktop, Live Medium",Germany,Debian,Debian
Black Lab,397,30,2084,3,1,"Beginners, Desktop, Live Medium",USA,Debian,Debian
Bodhi,376,31,1457,5,3,"Chromebooks, Desktop, Live Medium, Old Computers, Raspberry Pi",USA,Debian,Debian
