"Date","Distro","Count"
2014-12-01,"Linux Arch",981000
2014-12-01,"Linux CentOS",932000
2014-12-01,"Linux Debian",3.9e+07
2014-12-01,"Linux Epiphany",702000
2014-12-01,"Linux Fedora",6.5e+07
2014-12-01,"Linux Gentoo",2.1e+07
2014-12-01,"Linux Kubuntu",210000
2014-12-01,"Linux Mandriva",3.3e+07
2014-12-01,"Linux Mint",6.7e+07
2014-12-01,"Linux Mips",3.2e+07
2014-12-01,"Linux Motor",30000
2014-12-01,"Linux openSUSE",30000
2014-12-01,"Linux Oracle",30000
2014-12-01,"Linux PCLinuxOS",99000
2014-12-01,"Linux Red Hat",4.9e+07
2014-12-01,"Linux Slackware",43000
2014-12-01,"Linux SUSE",7.9e+07
2014-12-01,"Linux Ubuntu",8.9e+08
2014-12-01,"Linux Xubuntu",30000
2014-11-01,"Linux Arch",538000
2014-11-01,"Linux CentOS",1.1e+07
2014-11-01,"Linux Debian",9.6e+07
2014-11-01,"Linux Epiphany",1.2e+07
2014-11-01,"Linux Fedora",1.01e+08
2014-11-01,"Linux Gentoo",1.5e+07
2014-11-01,"Linux Kubuntu",680000
2014-11-01,"Linux Mandriva",4.8e+07
2014-11-01,"Linux Mint",8.3e+07
2014-11-01,"Linux Mips",3e+06
2014-11-01,"Linux Motor",30000
2014-11-01,"Linux openSUSE",30000
2014-11-01,"Linux Oracle",30000
2014-11-01,"Linux PCLinuxOS",64000
2014-11-01,"Linux Red Hat",2.4e+07
2014-11-01,"Linux Slackware",80000
2014-11-01,"Linux SUSE",5.7e+07
2014-11-01,"Linux Ubuntu",1.116e+09
2014-11-01,"Linux Xubuntu",30000
2014-10-01,"Linux Arch",5e+05
2014-10-01,"Linux CentOS",1.1e+07
2014-10-01,"Linux Debian",6.2e+07
2014-10-01,"Linux Epiphany",1.5e+07
2014-10-01,"Linux Fedora",1.53e+08
2014-10-01,"Linux Gentoo",1.2e+07
2014-10-01,"Linux Kubuntu",670000
2014-10-01,"Linux Mandriva",4.5e+07
2014-10-01,"Linux Mint",8.1e+07
2014-10-01,"Linux Mips",2.3e+07
2014-10-01,"Linux Motor",30000
2014-10-01,"Linux openSUSE",30000
2014-10-01,"Linux Oracle",80000
2014-10-01,"Linux PCLinuxOS",111000
2014-10-01,"Linux Red Hat",7.8e+07
2014-10-01,"Linux Slackware",32000
2014-10-01,"Linux SUSE",1.31e+08
2014-10-01,"Linux Ubuntu",1.091e+09
2014-10-01,"Linux Xubuntu",30000
2014-09-01,"Linux Arch",439000
