Distro,Count,Perc,Year,Month
Linux Arch,981 k,0.00%,2014,12
Linux CentOS,932 k,0.00%,2014,12
Linux Debian,3.9 M,0.00%,2014,12
Linux Epiphany,702 k,0.00%,2014,12
Linux Fedora,6.5 M,0.00%,2014,12
Linux Gentoo,2.1 M,0.00%,2014,12
Linux Kubuntu,210 k,0.00%,2014,12
Linux Mandriva,3.3 M,0.00%,2014,12
Linux Mint,6.7 M,0.00%,2014,12
Linux Mips,3.2 M,0.00%,2014,12
Linux Motor,30 k,0.00%,2014,12
Linux openSUSE,30 k,0.00%,2014,12
Linux Oracle,30 k,0.00%,2014,12
Linux Other,"1,459 M",0.75%,2014,12
Linux PCLinuxOS,99 k,0.00%,2014,12
Linux Red Hat,4.9 M,0.00%,2014,12
Linux Slackware,43 k,0.00%,2014,12
Linux SUSE,7.9 M,0.00%,2014,12
Linux Ubuntu,890 M,0.46%,2014,12
Linux Xubuntu,30 k,0.00%,2014,12
Linux Arch,538 k,0.00%,2014,11
Linux CentOS,1.1 M,0.00%,2014,11
Linux Debian,9.6 M,0.00%,2014,11
Linux Epiphany,1.2 M,0.00%,2014,11
Linux Fedora,10.1 M,0.00%,2014,11
Linux Gentoo,1.5 M,0.00%,2014,11
Linux Kubuntu,680 k,0.00%,2014,11
Linux Mandriva,4.8 M,0.00%,2014,11
Linux Mint,8.3 M,0.00%,2014,11
Linux Mips,3 M,0.00%,2014,11
Linux Motor,30 k,0.00%,2014,11
Linux openSUSE,30 k,0.00%,2014,11
Linux Oracle,30 k,0.00%,2014,11
Linux Other,"1,688 M",0.76%,2014,11
Linux PCLinuxOS,64 k,0.00%,2014,11
Linux Red Hat,2.4 M,0.00%,2014,11
Linux Slackware,80 k,0.00%,2014,11
Linux SUSE,5.7 M,0.00%,2014,11
Linux Ubuntu,"1,116 M",0.50%,2014,11
Linux Xubuntu,30 k,0.00%,2014,11
Linux Arch,500 k,0.00%,2014,10
Linux CentOS,1.1 M,0.00%,2014,10
Linux Debian,6.2 M,0.00%,2014,10
Linux Epiphany,1.5 M,0.00%,2014,10
Linux Fedora,15.3 M,0.01%,2014,10
Linux Gentoo,1.2 M,0.00%,2014,10
Linux Kubuntu,670 k,0.00%,2014,10
Linux Mandriva,4.5 M,0.00%,2014,10
Linux Mint,8.1 M,0.00%,2014,10
Linux Mips,2.3 M,0.00%,2014,10
Linux Motor,30 k,0.00%,2014,10
Linux openSUSE,30 k,0.00%,2014,10
Linux Oracle,80 k,0.00%,2014,10
Linux Other,"1,653 M",0.73%,2014,10
Linux PCLinuxOS,111 k,0.00%,2014,10
Linux Red Hat,7.8 M,0.00%,2014,10
Linux Slackware,32 k,0.00%,2014,10
Linux SUSE,13.1 M,0.01%,2014,10
Linux Ubuntu,"1,091 M",0.49%,2014,10
Linux Xubuntu,30 k,0.00%,2014,10
Linux Arch,439 k,0.00%,2014,9
Linux CentOS,1.8 M,0.00%,2014,9
Linux Debian,5 M,0.00%,2014,9
Linux Epiphany,1.1 M,0.00%,2014,9
Linux Fedora,29.6 M,0.01%,2014,9
Linux Gentoo,786 k,0.00%,2014,9
Linux Kubuntu,810 k,0.00%,2014,9
Linux Mandriva,3.7 M,0.00%,2014,9
Linux Mint,8.5 M,0.00%,2014,9
Linux Mips,2.2 M,0.00%,2014,9
Linux Motor,34 k,0.00%,2014,9
Linux openSUSE,30 k,0.00%,2014,9
Linux Oracle,30 k,0.00%,2014,9
Linux Other,"1,562 M",0.68%,2014,9
Linux PCLinuxOS,48 k,0.00%,2014,9
Linux Red Hat,3 M,0.00%,2014,9
Linux Slackware,62 k,0.00%,2014,9
Linux SUSE,4.4 M,0.00%,2014,9
Linux Ubuntu,"1,044 M",0.45%,2014,9
Linux Xubuntu,30 k,0.00%,2014,9
Linux Arch,232 k,0.00%,2014,8
Linux CentOS,680 k,0.00%,2014,8
Linux Debian,2.8 M,0.00%,2014,8
Linux Epiphany,858 k,0.00%,2014,8
Linux Fedora,9.4 M,0.00%,2014,8
Linux Gentoo,392 k,0.00%,2014,8
Linux Kubuntu,671 k,0.00%,2014,8
Linux Mandriva,2.1 M,0.00%,2014,8
Linux Mint,7.3 M,0.00%,2014,8
Linux Mips,2.1 M,0.00%,2014,8
Linux Motor,34 k,0.00%,2014,8
Linux openSUSE,30 k,0.00%,2014,8
Linux Oracle,32 k,0.00%,2014,8
Linux Other,"1,494 M",0.71%,2014,8
