clade,Name,Parent,Start,Stop
Debian,Debian,NA,1993-08-16T00:00:00Z,2013-01-01T00:00:00Z
Debian,Libranet,Debian,1999-11-09T00:00:00Z,2005-04-25T00:00:00Z
Debian,Corel,Debian,1999-09-01T00:00:00Z,2008-08-02T00:00:00Z
Debian,Storm,Debian,1999-12-01T00:00:00Z,2001-04-01T00:00:00Z
Debian,Omoikane (Arma),Debian,2000-02-01T00:00:00Z,2013-01-01T00:00:00Z
Debian,Knoppix,Debian,2000-09-30T00:00:00Z,2013-01-01T00:00:00Z
Debian,Kurumin,Knoppix,2003-02-18T00:00:00Z,2009-01-29T00:00:00Z
Debian,Dizinha,Kurumin,2004-01-04T00:00:00Z,2008-01-01T00:00:00Z
Debian,NeoDizinha,Dizinha,2006-05-01T00:00:00Z,2013-01-01T00:00:00Z
Debian,Kalango,Kurumin,2004-02-01T00:00:00Z,2006-11-07T00:00:00Z
Debian,Poseidon,Kurumin,2005-03-10T00:00:00Z,2013-01-01T00:00:00Z
Debian,Quantian,Knoppix,2003-03-06T00:00:00Z,2006-03-01T00:00:00Z
Debian,Damn Small Linux,Knoppix,2003-06-01T00:00:00Z,2013-01-01T00:00:00Z
Debian,Hikarunix,Damn Small Linux,2004-09-17T00:00:00Z,2005-09-21T00:00:00Z
Debian,DSL-N,Damn Small Linux,2006-05-08T00:00:00Z,2006-08-24T00:00:00Z
Debian,Damn Vulnerable Linux,Damn Small Linux,2006-11-01T00:00:00Z,2010-12-01T00:00:00Z
Debian,Morphix,Knoppix,2003-03-19T00:00:00Z,2010-03-29T00:00:00Z
Debian,Hiwix,Morphix,2004-02-28T00:00:00Z,2013-01-01T00:00:00Z
Debian,Aquamorph,Morphix,2004-05-01T00:00:00Z,2013-01-01T00:00:00Z
Debian,ZoneCD,Morphix,2004-06-01T00:00:00Z,2005-11-16T00:00:00Z
Debian,Dreamlinux,Morphix,2006-02-12T00:00:00Z,2012-09-01T00:00:00Z
Debian,Danix,Knoppix,2003-11-05T00:00:00Z,2013-01-01T00:00:00Z
Debian,Shabdix,Knoppix,2003-12-26T00:00:00Z,2004-09-01T00:00:00Z
Debian,INSERT,Knoppix,2003-08-01T00:00:00Z,2007-02-27T00:00:00Z
Debian,KnoppMyth,Knoppix,2003-08-08T00:00:00Z,2009-01-28T00:00:00Z
Debian,Medialinux,Knoppix,2003-11-01T00:00:00Z,2013-01-01T00:00:00Z
