Name,Parent,Start,Stop
Debian,NA,1993-08-16,2013-01-01
Libranet,Debian,1999-11-09,2005-04-25
Corel,Debian,1999-09-01,2008-08-02
Storm,Debian,1999-12-01,2001-04-01
Omoikane (Arma),Debian,2000-02-01,2013-01-01
Knoppix,Debian,2000-09-30,2013-01-01
Kurumin,Knoppix,2003-02-18,2009-01-29
Dizinha,Kurumin,2004-01-04,2008-01-01
NeoDizinha,Dizinha,2006-05-01,2013-01-01
Kalango,Kurumin,2004-02-01,2006-11-07
Poseidon,Kurumin,2005-03-10,2013-01-01
Quantian,Knoppix,2003-03-06,2006-03-01
Damn Small Linux,Knoppix,2003-06-01,2013-01-01
Hikarunix,Damn Small Linux,2004-09-17,2005-09-21
DSL-N,Damn Small Linux,2006-05-08,2006-08-24
Damn Vulnerable Linux,Damn Small Linux,2006-11-01,2010-12-01
Morphix,Knoppix,2003-03-19,2010-03-29
Hiwix,Morphix,2004-02-28,2013-01-01
Aquamorph,Morphix,2004-05-01,2013-01-01
ZoneCD,Morphix,2004-06-01,2005-11-16
Dreamlinux,Morphix,2006-02-12,2012-09-01
Danix,Knoppix,2003-11-05,2013-01-01
Shabdix,Knoppix,2003-12-26,2004-09-01
INSERT,Knoppix,2003-08-01,2007-02-27
KnoppMyth,Knoppix,2003-08-08,2009-01-28
Medialinux,Knoppix,2003-11-01,2013-01-01
Kanotix,Knoppix,2003-12-24,2013-01-01
Auditor Security Linux,Kanotix,2004-05-20,2013-01-01
Parsix,Kanotix,2005-01-25,2013-01-01
Feather,Knoppix,2003-12-01,2005-07-04
Bioknoppix,Knoppix,2004-02-20,2004-08-13
Joatha,Knoppix,2004-04-01,2013-01-01
MAX,Knoppix,2004-05-27,2013-01-01
B2D,Knoppix,2004-06-01,2010-05-16
Kaella,Knoppix,2004-07-01,2013-01-01
Whoppix,Knoppix,2004-08-01,2006-02-05
Symphony OS,Knoppix,2005-05-12,2013-01-01
ParallelKnoppix,Knoppix,2005-04-25,2008-03-01
Musix,Knoppix,2005-09-12,2013-01-01
Gibraltar,Debian,2000-07-31,2013-01-01
LEAF,Debian,2000-10-29,2013-01-01
Progeny,Debian,2001-04-09,2007-04-30
Skolelinux,Debian,2001-07-02,2013-01-01
DeMuDi,Debian,2001-07-19,2006-01-01
64Studio,DeMuDi,2005-04-01,2013-01-01
Lindows,Debian,2001-08-01,2008-08-02
Freespire,Lindows,2006-04-24,2008-10-19
gnuLiNex,Debian,2002-06-09,2011-12-31
Lihuen,gnuLiNex,2005-09-01,2013-01-01
Rxart,Debian,2002-12-01,2013-01-01
BlackRhino,Debian,2003-03-04,2007-05-01
miniwoody,Debian,2003-03-15,2004-01-14
MEPIS,Debian,2003-05-01,2013-01-01
antiX,MEPIS,2007-08-22,2013-01-01
Swift,antiX,2010-11-15,2013-01-01
ASLinux,Debian,2003-10-01,2013-01-01
Impi,Debian,2003-11-01,2006-01-01
Xebian,Debian,2003-12-17,2005-06-28
Bluewall,Debian,2004-01-06,2006-02-05
Amber,Debian,2004-02-01,2006-04-01
K-DEMar,Debian,2004-02-14,2013-01-01
Guadalinex,Debian,2004-02-24,2013-01-01
Euronode,Debian,2004-03-13,2006-01-10
DRBL,Debian,2004-04-01,2013-01-01
DeadCD,Debian,2004-04-01,2006-06-01
Clonezilla Live,Debian,2004-05-01,2013-01-01
Underground Desktop,Debian,2004-06-01,2006-10-14
grml,Debian,2004-08-31,2013-01-01
UserLinux,Debian,2004-09-01,2005-05-01
Ubuntu,Debian,2004-10-20,2013-01-01
Kubuntu,Ubuntu,2005-04-08,2013-01-01
Bardinux,Kubuntu,2006-07-07,2013-01-01
Ulteo,Kubuntu,2006-12-07,2013-01-01
DEFT,Kubuntu,2007-01-01,2013-01-01
Polippix,Kubuntu,2007-03-20,2013-01-01
Asturix,Kubuntu,2009-02-05,2013-01-01
Edubuntu,Ubuntu,2005-10-13,2013-01-01
Arabian,Ubuntu,2005-03-01,2009-07-01
nUbuntu,Ubuntu,2005-12-18,2010-04-04
Xubuntu,Ubuntu,2006-06-01,2013-01-01
Mystras OS,Xubuntu,2012-02-08,2013-01-01
Xinutop,Xubuntu,2012-05-02,2013-01-01
Christian Edition,Ubuntu,2006-07-23,2013-01-01
PUD,Ubuntu,2006-08-01,2013-01-01
Mint,Ubuntu,2006-08-27,2013-01-01
quantOS,Mint,2011-06-15,2012-02-28
Commodore OS,Mint,2011-11-11,2013-01-01
gNewSense,Ubuntu,2006-11-02,2013-01-01
Satanic Edition,Ubuntu,2006-12-13,2013-01-01
Muslim Edition,Ubuntu,2007-01-14,2013-01-01
Uberyl,Ubuntu,2007-01-16,2013-01-01
Madbox,Ubuntu,2007-03-17,2013-01-01
Ubuntu Studio,Ubuntu,2007-05-10,2013-01-01
Kiwi,Ubuntu,2007-10-01,2013-01-01
Geubuntu,Ubuntu,2007-09-13,2013-01-01
Greenie,Ubuntu,2007-09-14,2013-01-01
Ubuntulite,Ubuntu,2007-09-01,2013-01-01
