Rank ,Distribution ,H.P.D*,Year
1,Mandrake ,473,2002
2,Red Hat ,453,2002
3,Gentoo ,326,2002
4,Debian ,311,2002
5,Sorcerer ,253,2002
6,SuSE ,250,2002
7,Slackware ,216,2002
8,Lycoris ,209,2002
9,Lindows ,151,2002
10,Xandros ,123,2002
11,Vine ,113,2002
12,Libranet ,94,2002
13,Beehive ,87,2002
14,ROOT ,83,2002
15,CRUX ,83,2002
16,Turbolinux ,79,2002
17,LFS ,78,2002
18,SCO ,76,2002
19,Peanut ,70,2002
20,ELX ,67,2002
21,Knoppix ,63,2002
22,Alt ,62,2002
23,ASP ,61,2002
24,Linpus ,59,2002
25,Thiz ,57,2002
26,Red Flag ,57,2002
27,Arch ,57,2002
28,Vector ,56,2002
29,EvilEntity ,55,2002
30,ROCK ,55,2002
31,Yellow Dog ,55,2002
32,Icepack ,55,2002
33,SourceMage ,51,2002
34,Lunar ,50,2002
35,Conectiva ,49,2002
36,WOW ,46,2002
37,Blue ,45,2002
38,K12LTSP ,40,2002
39,e-smith ,39,2002
40,UHU ,39,2002
41,CLE ,39,2002
42,Xteam ,38,2002
43,Cosix ,38,2002
44,MSC.Linux ,37,2002
45,Miracle ,36,2002
46,Immunix ,35,2002
47,Yoper ,34,2002
48,Voodoo ,34,2002
49,EnGarde ,34,2002
50,Madeinlinux ,33,2002
51,United ,33,2002
52,PLD ,33,2002
53,Trustix ,32,2002
54,LinEx ,32,2002
55,MURIX ,31,2002
56,MIZI ,31,2002
57,SOT ,30,2002
58,Hancom ,30,2002
59,Omoikane ,28,2002
60,SoL ,28,2002
61,Eridani ,27,2002
62,OEone ,27,2002
63,LASER5 ,27,2002
64,Spectra ,25,2002
65,Definity ,24,2002
66,OpenNA ,24,2002
67,Holon ,23,2002
68,Openwall ,23,2002
69,KRUD ,23,2002
70,CaixaMagica ,23,2002
71,Media Lab ,21,2002
72,Gelecek ,20,2002
73,Plamo ,19,2002
74,NuxOne ,19,2002
75,ESware ,19,2002
76,Tech ,18,2002
77,Ayrsoft ,18,2002
78,Haydar ,16,2002
79,Skolelinux ,15,2002
80,JAMD ,15,2002
81,LRs ,15,2002
82,Linuxin ,14,2002
83,Merdeka ,14,2002
84,IDMS ,13,2002
85,Chinese2000 ,13,2002
86,Antomic ,12,2002
87,WinBi ,12,2002
88,Demudi ,11,2002
89,TA ,10,2002
90,Core ,9,2002
91,Dynasoft ,9,2002
92,TFM ,9,2002
93,uOS ,8,2002
94,kmLinux ,5,2002
95,O-Net ,1,2002
96,Ark ,0,2002
1,Mandrake ,770,2003
2,Red Hat ,631,2003
3,Knoppix ,489,2003
4,Gentoo ,460,2003
5,Debian ,428,2003
6,Yoper ,390,2003
7,SUSE ,366,2003
8,Slackware ,357,2003
9,Lycoris ,220,2003
10,Xandros ,175,2003
11,Lindows ,157,2003
12,Damn Small ,141,2003
13,Vector ,134,2003
14,Libranet ,132,2003
15,Morphix ,131,2003
16,Ark ,114,2003
17,College ,108,2003
18,Movix ,99,2003
19,Vine ,90,2003
20,Sorcerer ,90,2003
21,Aurox ,89,2003
22,MEPIS ,85,2003
23,Source Mage ,77,2003
24,GNOPPIX ,76,2003
25,Turbolinux ,70,2003
26,ByzantineOS ,69,2003
27,LFS ,69,2003
28,IPCop ,68,2003
29,SmoothWall ,67,2003
30,Kurumin ,64,2003
31,JAMD ,61,2003
32,Lunar ,61,2003
33,ClarkConnect ,61,2003
34,Devil ,60,2003
35,Alt ,59,2003
36,CRUX ,58,2003
37,Peanut ,57,2003
38,ROCK ,55,2003
39,Astaro ,55,2003
40,Arch ,54,2003
41,Yellow Dog ,50,2003
42,Conectiva ,50,2003
43,ADIOS ,49,2003
44,PCLinuxOS ,49,2003
45,Cool ,48,2003
46,SLAX ,48,2003
47,LNX-BBC ,47,2003
48,EvilEntity ,47,2003
49,Bonzai ,46,2003
50,Dyne:bolic ,46,2003
51,GeeXboX ,46,2003
52,Censornet ,43,2003
53,Freeduc ,41,2003
54,K12LTSP ,40,2003
55,Lorma ,39,2003
56,LinEx ,39,2003
57,Onebase ,38,2003
58,Eagle ,37,2003
59,UHU ,36,2003
