"Distribution","HPD"
"Mint ",3070
"Debian ",1952
"Ubuntu ",1685
"openSUSE ",1346
"Fedora ",1148
"Manjaro ",1049
"Mageia ",983
"CentOS ",888
"Arch ",801
"Android-x86 ",731
"Zorin ",696
"LXLE ",666
"PCLinuxOS ",662
"Kali ",621
"elementary ",618
"deepin ",581
"Puppy ",580
"Ubuntu MATE ",568
"Lubuntu ",557
"Lite ",509
"antiX ",471
"Slackware ",468
"Simplicity ",455
"FreeBSD ",442
"Tails ",413
"Xubuntu ",409
"Antergos ",407
"Cub ",404
"Netrunner ",402
"Black Lab ",397
"Bodhi ",376
"Sabayon ",375
"KaOS ",365
"Solus ",364
"Q4OS ",361
"SteamOS ",357
"Kubuntu ",336
"Peppermint ",318
"Robolinux ",307
"SparkyLinux ",306
"Tiny Core ",296
"Red Hat ",285
"PC-BSD ",284
"ClearOS ",283
"Gentoo ",281
"Ultimate ",276
"ArchBang ",273
"KNOPPIX ",273
"Korora ",268
"4MLinux ",266
"MakuluLinux ",263
"ReactOS ",263
"ROSA ",249
"Vector ",245
"Ubuntu Studio ",244
"Ubuntu GNOME ",240
"Alpine ",234
"BackBox ",232
"wattOS ",227
"Chakra ",215
"0Linux ",206
"DragonFly ",205
"CoreOS ",204
"OpenMandriva ",202
"GhostBSD ",200
"Pinguy ",199
"NixOS ",194
"OpenELEC ",191
"Scientific ",187
"Mangaka ",186
"Voyager ",181
"HandyLinux ",180
"Clonezilla ",178
"OpenBSD ",177
"BlackArch ",174
"Neptune ",172
"SolydXK ",172
"Ubuntu Kylin ",169
"siduction ",167
"GParted ",164
"Calculate ",162
"Absolute ",161
"Oracle ",160
"Tanglu ",160
"Parsix ",155
"Elive ",153
"Salix ",153
"Emmabuntüs ",152
"Univention ",152
"SmartOS ",149
"Trisquel ",148
"SliTaz ",147
"Solaris ",147
"AV Linux ",146
"Porteus ",144
"Zenwalk ",144
"Wifislax ",142
"ExTiX ",139
"Quirky ",139
"Semplice ",137
"AUSTRUMI ",123
"Qubes ",118
"LinuxConsole ",117
"NetBSD ",116
"Raspbian ",116
"LFS ",106
"pfSense ",104
"IPFire ",103
"Rockstor ",103
"NuTyX ",99
"ALT ",97
"FreeNAS ",97
"MidnightBSD ",93
"MiniNo ",92
"SUSE ",92
"CRUX ",90
"FuguIta ",90
"Pisi ",89
"TurnKey ",89
"OpenIndiana ",87
"Point ",85
"Slackel ",85
"SystemRescue ",85
"Parted Magic ",84
"Ubuntu DP ",81
"Connochaet ",79
"Porteus Kiosk ",76
"2XOS ",75
"ChaletOS ",74
"Mythbuntu ",73
"CAINE ",72
"ZevenOS ",72
"Berry ",71
"Bridge ",71
"Proxmox ",71
"Void ",71
"KolibriOS ",70
"Untangle ",70
"Kwort ",69
"UberStudent ",69
"Legacy ",68
"Parabola ",68
"Chapeau ",67
"NethServer ",67
"Funtoo ",66
"LinuxBBQ ",66
"LPS ",66
"blackPanther ",65
"NAS4Free ",65
"OpenMediaVault ",65
"Rescatux ",65
"APODIO ",64
"Webconverger ",64
"Zentyal ",64
"LuninuX ",63
"WM Live ",63
"openmamba ",60
"Pentoo ",60
"SymphonyOS ",60
"Haiku ",59
"Plamo ",59
"SuperX ",59
"Devil ",58
"MINIX ",58
"Finnix ",57
"RebeccaBlackOS ",57
"Edubuntu ",56
"Parrot ",56
"Plop ",56
"Toutou ",56
"SME Server ",53
"URIX ",53
"XStreamOS ",53
"Frugalware ",52
"Lunar ",52
"Bio-Linux ",51
"KXStudio ",51
"Musix ",51
"Baruwa ",50
"KANOTIX ",50
"Pardus ",50
"Skolelinux ",50
"BlankOn ",49
"Leeenux ",49
"Linpus ",49
"BOSS ",48
"DEFT ",48
"Endian ",48
"NST ",47
"Peach OSI ",47
"Rocks Cluster ",47
"Runtu ",47
"MirOS ",46
"Nanolinux ",46
"PoliArch ",46
"SalentOS ",46
"Vinux ",46
"Vine ",45
"Oz Unity ",44
"REMnux ",44
"AsteriskNOW ",43
"SMS ",43
"Turbolinux ",43
"BLAG ",42
"Exe ",42
"GoboLinux ",42
"IPCop ",42
"LliureX ",42
"Madbox ",42
"OSMC ",42
"Rebellin ",42
"VyOS ",42
"Exherbo ",41
"Kwheezy ",41
"kademar ",40
"RISC ",40
"Sophos ",40
"Stella ",40
"T2 ",40
"Zeroshell ",40
"Thinstation ",39
"UPR ",39
"VortexBox ",39
"DoudouLinux ",38
"Elastix ",38
"OPNsense ",38
"Baltix ",36
"OLPC ",36
"paldo ",36
"Bardinux ",35
"Caixa Mágica ",35
"Centrych ",35
"Guadalinex ",35
"Pidora ",35
"Smoothwall ",35
"Source Mage ",35
"Springdale ",35
"UHU-Linux ",35
"Greenie ",34
"Linuxfx ",34
"MAX ",34
"Miracle ",34
"Securepoint ",34
"Bicom ",33
"Canaima ",33
"Fermi ",33
"Hanthana ",33
"LinHES ",33
"OpenLX ",33
"Grml ",32
"Karoshi ",32
"Openwall ",32
"PLD ",32
"SELKS ",32
"Ulteo ",32
"Volumio ",32
"NexentaStor ",31
"Chitwanix ",30
"eZeY ",30
"LinEx ",30
"Overclockix ",30
"PelicanHPC ",30
"Sonar ",30
"GuixSD ",28
"SuliX ",28
"Omoikane ",27
"Metamorphose ",26
"PrimTux ",22
"AgiliaLinux ",21
"AbulÉdu ",15
"Whonix ",15
"BSDRP ",9
"Arya ",6
"Lakka ",6
"B2D ",3
