package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
abcde,2,7066,6545.2982982983,1835.4618283565,649,0.283689747,0.649,999,0
acl,50,6148.5681632653,6431.175259341,110.7319655008,13,-2.5521726703,0.013,999,1
acpi,16,7144.9583333333,6453.7674341008,468.7345977193,938,1.4745890374,0.938,999,0
acpid,38,6186.2318634424,6429.0926673473,195.9244131583,124,-1.2395637684,0.124,999,0
acpi-support,32,6008.7862903226,6427.4738750848,248.6293051518,51,-1.6839832477,0.051,999,0
acpi-support-base,13,7033.7692307692,6436.3879520546,531.0889992229,879,1.1248232963,0.879,999,0
add-desktop-antix,1,NA,NA,NA,NA,NA,NA,999,NA
add-key-antix,1,NA,NA,NA,NA,NA,NA,999,NA
add-start-antix,1,NA,NA,NA,NA,NA,NA,999,NA
adduser,54,6242.9098532495,6434.6996283495,64.5966702518,4,-2.9690350037,0.004,999,1
advert-block-antix,1,NA,NA,NA,NA,NA,NA,999,NA
adwaita-icon-theme,24,5964.8695652174,6441.3134837736,333.4455395842,89,-1.4288507777,0.089,999,0
adwaita-themes,1,NA,NA,NA,NA,NA,NA,999,NA
alpine,3,6197.3333333333,6447.004337671,1350.5022303559,502.5,-0.1848727079,0.5025,999,0
alsa-base,43,6011.8959025471,6437.353654873,158.5598240225,8,-2.6832632727,0.008,999,1
alsamixer-equalizer-antix,1,NA,NA,NA,NA,NA,NA,999,NA
alsa-tools,6,6890.2666666667,6457.9915915916,820.056251043,697,0.5271285653,0.697,999,0
alsa-utils,50,6203.5893877551,6440.1734411963,104.9210646344,22,-2.2548765995,0.022,999,1
antix-archive-keyring,1,NA,NA,NA,NA,NA,NA,999,NA
antix-cc-full-antix,1,NA,NA,NA,NA,NA,NA,999,NA
antix-goodies,1,NA,NA,NA,NA,NA,NA,999,NA
antix-installer,1,NA,NA,NA,NA,NA,NA,999,NA
antix-libs,1,NA,NA,NA,NA,NA,NA,999,NA
apt,54,6242.9098532495,6432.2276259488,69.2370001607,7,-2.7343439528,0.007,999,1
apt-antix,1,NA,NA,NA,NA,NA,NA,999,NA
apt-show-versions,6,7402.7333333333,6434.0680680681,862.3559260357,851,1.1232777975,0.851,999,0
apt-utils,53,6225.4383164006,6431.7871093154,82.0954182012,17,-2.5135238657,0.017,999,1
arandr,7,6883.0476190476,6391.1056771057,818.8851027287,715,0.6007459903,0.715,999,0
asciidoc,2,7066,6401.7767767768,1854.9186363602,687,0.3580875248,0.687,999,0
ash,3,6740.6666666667,6449.5448782115,1349.3482627161,574.5,0.2157499265,0.5745,999,0
aspell,47,6204.8011100833,6440.069892279,135.4744122814,50,-1.7366289193,0.05,999,0
aspell-en,46,6206.2212560387,6431.6063348373,145.2312898958,70,-1.5519044068,0.07,999,0
asunder,3,6707.3333333333,6373.000333667,1324.885820946,604,0.2523485378,0.604,999,0
atmel-firmware,12,6414.9848484849,6429.857372524,554.2392960938,478,-0.0268341205,0.478,999,0
aufs-tools,7,6945.7142857143,6413.4682301349,796.1728438682,716,0.6685056639,0.716,999,0
avahi-daemon,40,6007.3871794872,6435.5525743692,185.8405829418,17,-2.303939151,0.017,999,1
avahi-utils,22,5602.4285714286,6439.0862594196,358.7139254062,14,-2.3323814013,0.014,999,1
base-files,53,6260.7184325109,6434.1317137166,76.0024107739,26,-2.2816813235,0.026,999,1
base-passwd,54,6242.9098532495,6432.7340121393,67.937897335,6,-2.7940835136,0.006,999,1
bash,54,6242.9098532495,6432.3440400568,66.2470221831,10,-2.8595124817,0.01,999,1
bash-completion,42,5937.1927990709,6423.1019509637,176.9839384477,10,-2.7454985811,0.01,999,1
bc,50,6311.3991836735,6434.9322073094,107.9670931235,134,-1.1441729147,0.134,999,0
b-fwcutter,18,6641.0784313726,6466.5570995832,397.2174898918,659,0.439359636,0.659,999,0
bind-host,49,6091.3384353742,6440.7663343616,111.5588996661,5,-3.1322279086,0.005,999,1
binutils,45,6263.9090909091,6437.296474252,146.6600607564,127,-1.1822399531,0.127,999,0
bittorrent,3,7682.6666666667,6477.5702369036,1350.3978286547,721,0.8924010423,0.721,999,0
